name,rank
"Tyler, The Creator",1
Morgan Wallen,2
Doja Cat,3
Harry Styles,4
Ed Sheeran,5
The Weeknd,6
Jack Harlow,7
Luke Combs,8
Olivia Rodrigo,9
Lil Baby,10
Drake,11
Taylor Swift,12
Dua Lipa,13
Justin Bieber,14
Chris Stapleton,15
Bruno Mars,16
Adele,17
Rush,18
Lil Nas X,19
Kanye West,20
Imagine Dragons,21
Lil Durk,22
Billie Eilish,23
Kendrick Lamar,24
Juice WRLD,25
Latto,26
Walker Hayes,27
Post Malone,28
Red Hot Chili Peppers,29
Nirvana,30
Fleetwood Mac,31
Glass Animals,32
Kodak Black,33
Bad Bunny,34
Jason Aldean,35
Nicki Minaj,36
BTS,37
Jack White,38
Lauren Spencer-Smith,39
SZA,40
The Beatles,41
Camila Cabello,42
Lizzo,43
Elton John,44
Cody Johnson,45
J. Cole,46
Kane Brown,47
Metallica,48
Eminem,49
GAYLE,50
Thomas Rhett,51
Carrie Underwood,52
Miranda Lambert,53
Maren Morris,54
Childish Gambino,55
Travis Scott,56
Future,57
Queen,58
Cole Swindell,59
Stray Kids,60
AC/DC,61
The Kid LAROI,62
J.I.D,63
Lee Brice,64
Gabby Barrett,65
Tate McRae,66
Shawn Mendes,67
Muni Long,68
Khalid,69
Gunna,70
Eagles,71
HARDY,72
Michael Jackson,73
Maroon 5,74
Creedence Clearwater Revival,75
Tame Impala,76
Sam Hunt,77
Led Zeppelin,78
Pink Floyd,79
Kurt Vile,80
Lana Del Rey,81
Dr. Dre,82
Guns N' Roses,83
Em Beihold,84
Dove Cameron,85
Kid Rock,86
Wet Leg,87
Pop Smoke,88
Charlie Puth,89
Lewis Capaldi,90
Prince,91
The Notorious B.I.G.,92
Jimi Hendrix,93
Pearl Jam,94
Anderson .Paak,95
Kid Cudi,96
twenty one pilots,97
Journey,98
The Police,99
Lil Uzi Vert,100
Machine Gun Kelly,1
Ed Sheeran,2
Lil Durk,3
Doja Cat,4
The Weeknd,5
Morgan Wallen,6
Jack Harlow,1
Drake,7
Luke Combs,8
Adele,9
Dua Lipa,10
Jack White,2
